薿	艹疑ノㄋ丶丶
猥	犭田一ㄋ丶丶
狻	犭夋ㄋ丶丶丶
猛	犭子丨ㄋ一一
猎	犭昔一丨一一
独	犭虫丨ㄋ丶丶
狃	犭丑ㄋ丨一一
狒	犭弓ㄋ一ㄋㄋ
犴	犭干一一丨丨
狠	犭艮ㄋ一丶丶
狐	犭瓜ノノ丶丶
犷	犭广丶一ノノ
狄	犭火丶ノ丶丶
狭	犭夹ノ丶丶丶
狎	犭甲丨ㄋ丨丨
犰	犭九ノㄋㄋㄋ
犸	犭马ㄋㄋ一一
狙	犭且丨ㄋ一一
狂	犭王一一一一
犯	犭㔾ㄋㄋㄋㄋ
獯	犭千丨ㄋ丶丶
狱	犭讠一ノ丶丶
狺	犭言丶一一一
犹	犭尢丶丶丶丶
狲	犭孑丨ノ丶丶
㺄	犭俞ノ丶丨丨
猄	犭京丶一丶丶
猇	犭虍ノㄋㄋㄋ
猯	犭山一ノ丨丨
猰	犭丰ㄋノ丶丶
慝	匚艹一ノ丶丶
翳	匚矢ノㄋ一一
匦	匚车ノㄋㄋㄋ
匾	匚户丨ㄋ丨丨
匮	匚贵丨ㄋ丶丶
匿	匚艹一ノ一一
巨	匚ㄋ一一一
匹	匚儿ノㄋㄋㄋ
匪	匚非丨一一一
匣	匚甲丨ㄋ丨丨
匝	匚巾丨ㄋ丨丨
匠	匚斤ノノ丨丨
叵	匚口丨ㄋ一一
医	匚矢ノ一丶丶
匡	匚王一一一一
区	区一ノㄋㄋ
郾	匚日ㄋノ丨丨
鸥	区鸟ノㄋ一一
欧	区欠ノㄋ丶丶
殴	区殳ノㄋ丶丶
瓯	区瓦一ㄋ丶丶
繄	匚矢ノㄋ丶丶
匼	匚合ノ丶一一
方	方丶一ノノ
於	方人丶丶丶丶
放	方攵ノ一丶丶
邡	方阝ㄋ丨丨丨
旞	族㒸丶ㄋ丶丶
非	非丨一一一
韭	非一一一一一
翡	非羽ㄋ丶一一
裴	非衣丶一丶丶
辈	非车一ㄋ丨丨
蜚	非虫丨ㄋ丶丶
斐	非文丶一丶丶
悲	非心丶ㄋ丶丶
贫	分贝丨ㄋ丶丶
盆	分皿丨ㄋ一一
岔	分山丨ㄋ丨丨
坌	分土一丨一一
忿	分心丶ㄋ丶丶
分	分ノ丶ノノ
颁	分页一ノ丶丶
邠	分阝ㄋ丨丨丨
攽	分攵ノ一丶丶
契	丰刀一ノ丶丶
挈	丰刀ノ一丨丨
恝	丰刀丶ㄋ丶丶
彗	丰丰ㄋ一一一
慧	丰丰ㄋ一丶丶
丰	丰一一丨丨
艳	丰ㄋ丨ㄋㄋ
砉	丰石一ノ一一
絜	丰刀ㄋㄋ丶丶
缶	缶ノ一丨丨
罅	缶虍ノ丶丨丨
罐	缶艹丨ㄋ一一
缸	缶工一丨一一
缺	缶夬ㄋ一丶丶
逋	甫辶丶ㄋ丶丶
甫	甫一丨丶丶
敷	甫方ノ一丶丶
甘	甘一丨一一
邯	甘阝ㄋ丨丨丨
某	甘木一丨丶丶
干	干一一丨丨
刊	干刂丨丨丨丨
顸	干页一ノ丶丶
邗	干阝ㄋ丨丨丨
或	戈口一一一一
戒	戈廾一ノ丨丨
戎	戈一ノノノ
惑	戈口一丶丶丶
戈	戈一ㄋ丶丶
划	戈刂丨丨丨丨
靴	革亻ノㄋㄋㄋ
鞭	革亻一丨丶丶
鞠	革勹丶ノ丶丶
鞫	革勹丶一一一
鞑	革大丶ㄋ丶丶
鞍	革宀ㄋノ一一
鞒	革夭ノ丨丨丨
鞔	革免ノㄋㄋㄋ
鞘	革肖丨丶一一
鞯	革艹一ノ一一
鞣	革矛一丨丶丶
鞲	革冓一一一一
靼	革旦丨ㄋ一一
鞋	革圭一丨一一
鞴	革ノノ丨丨
靶	革巴ㄋ丨ㄋㄋ
靳	革斤ノノ丨丨
勒	革力ㄋノノノ
鞅	革央丨ㄋ丶丶
革	革一丨丨丨
鞬	革聿ㄋ丶丶丶
鞮	革是丨ㄋ丶丶
靸	革及ノㄋ丶丶
靰	革兀一ノㄋㄋ
鞡	革扌丶一一一
靿	革幺ㄋノノノ
靺	革末一一丶丶
鞨	革曷丨ㄋㄋㄋ
鞧	革酋丶ノ一一
韂	革厃ノ丶一一
艮	艮ㄋ一丶丶
退	艮辶丶ㄋ丶丶
垦	艮土一丨一一
恳	艮心丶ㄋ丶丶
蛩	工凡丨ㄋ丶丶
銎	工凡ノ丶一一
恐	工凡丶ㄋ丶丶
工	工一丨一一
巫	工从ノ丶丶丶
跫	工凡丨ㄋ丶丶
巩	工凡ノㄋ丶丶
攻	工攵ノ一丶丶
巧	工丂一ㄋㄋㄋ
功	工力ㄋノノノ
项	工页一ノ丶丶
邛	工阝ㄋ丨丨丨
觋	工从丨ㄋㄋㄋ
贡	工贝丨ㄋ丶丶
汞	工水丨ㄋ丶丶
鹀	工从ノㄋ一一
犟	弓口丨ㄋ丨丨
鬻	弓米ㄋ一丨丨
弗	弓ノ丨丨丨
弓	弓ㄋ一ㄋㄋ
弪	弓轻ㄋ丶一一
疆	弓土一一一一
弱	弓冫ㄋ一一一
艴	弓ノㄋㄋㄋ
弥	弓尔ノㄋ丶丶
弦	弓玄丶一丶丶
弹	弓单丶ノ丨丨
强	弓口丨ㄋ丶丶
弼	弓百ㄋ一ㄋㄋ
弭	弓耳一丨一一
弧	弓瓜ノノ丶丶
粥	弓米ㄋ一ㄋㄋ
引	弓丨丨丨丨丨
弘	弓厶ㄋ丶丶丶
弛	弓也ㄋ丨ㄋㄋ
张	弓长ノ一丶丶
费	弓丨ㄋ丶丶
弶	弓京丶一丶丶
廾	廾一ノ丨丨
鹕	古月ノㄋ一一
兢	古儿一丨ㄋㄋ
鸪	古鸟ノㄋ一一
故	古攵ノ一丶丶
嘏	古叚ㄋ一丶丶
胡	古月ノㄋ一一
辜	古辛丶一丨丨
克	古儿ノㄋㄋㄋ
古	古一丨一一
骨	骨丨ㄋ一一
鹘	骨鸟ノㄋ一一
髓	骨一丨丶丶
骺	骨丨ㄋ一一
髀	骨卑ノ丨丨丨
髌	骨宀ノ丨丶丶
髂	骨宀ノㄋ一一
髋	骨宀一丨ㄋㄋ
骸	骨亥丶一丶丶
骱	骨人ノ丨丨丨
骰	骨殳ノㄋ丶丶
髅	骨米ㄋノ一一
骷	骨古一丨一一
骶	骨氏丶丶丶丶
髑	骨罒ノㄋ丶丶
骼	骨各ノㄋ一一
髁	骨日一丨丶丶
髃	骨禺丨ㄋ丶丶
髎	骨羽ノ丶ノノ
瓞	瓜丿一一丶丶
瓜	瓜ノノ丶丶
贯	毌贝丨ㄋ丶丶
遮	度灬丶ㄋ丶丶
赓	广彐ノ丶丶丶
腐	广付丨ㄋ丶丶
麽	麻丿ㄋ丶丶丶
魔	麻鬼ノ丨丶丶
麾	麻毛ノ一ㄋㄋ
糜	麻米丶ノ丶丶
磨	麻石一ノ一一
摩	麻手ノ一丨丨
疳	广甘一丨一一
庚	广彐ノ丶丶丶
庸	广肀ノㄋ一一
廊	广朗ㄋ丨丨丨
廓	广享ㄋ丨丨丨
廒	广敖一一丶丶
庇	广比一ㄋㄋㄋ
府	广付ノ丨丶丶
庥	广亻一丨丶丶
廨	广角ㄋノ丨丨
麻	麻丶一丶丶
庖	广勹ㄋ一ㄋㄋ
庭	广壬ㄋ丶丶丶
废	广发ㄋノ丶丶
膺	广亻ノ丨一一
鹰	广亻ノ丨一一
廖	广羽ノ丶ノノ
廪	广亠丨ㄋ丶丶
廛	广里ノ丶一一
应	广兴丶丶一一
店	广占丨一一一
庵	广大丨ㄋㄋㄋ
廑	广堇一丨一一
庹	度尺ㄋ一丶丶
庶	度灬丶丶丶丶
席	度巾丨ㄋ丨丨
度	度又ㄋ丶丶丶
唐	广肀丨ㄋ一一
庋	广十ㄋ丶丶丶
底	广氏丶丶丶丶
库	广车一ㄋ丨丨
庆	广大一ノ丶丶
庐	广户丶ㄋノノ
康	广隶ㄋ一丶丶
庞	广龙一ノ丶丶
床	广木一丨丶丶
庄	广土一丨一一
庑	广一一ノㄋㄋ
庠	广羊丶ノ丨丨
庾	广臼ノ丶丶丶
座	广从一丨一一
广	广丶一ノノ
庀	广匕ノㄋㄋㄋ
鹧	度灬ノㄋ一一
邝	广阝ㄋ丨丨丨
縻	麻糸ㄋㄋ丶丶
靡	麻非丨一一一
庳	广卑ノ丨丨丨
廉	广兼丶ノ丶丶
庙	广由丨ㄋ一一
序	广予ㄋ丶丨丨
鄘	广肀ノㄋ丨丨
鹒	广彐ノ丶一一
庱	广土ノ丶丶丶
廆	广鬼ノ丨丶丶
魈	鬼肖丨丶一一
魃	鬼ㄋ丶丶丶
魁	鬼⺀一丨丨丨
魉	鬼丙ノ丶丶丶
魅	鬼未一一丶丶
魍	鬼冂丶ノㄋㄋ
魑	鬼㐫丨ㄋ丶丶
魆	鬼戉一ㄋ丶丶
魋	鬼隹ノ丨一一
遗	贵辶丶ㄋ丶丶
遣	中一丨ㄋ丶丶
贵	贵丨ㄋ丶丶
亥	亥丶一丶丶
刻	亥刂丨丨丨丨
劾	亥力ㄋノノノ
颏	亥页一ノ丶丶
黏	禾人丨丶一一
透	禾乃丶ㄋ丶丶
逶	禾女丶ㄋ丶丶
黎	禾勹ノ丨丶丶
黧	禾勹ノ丨丶丶
梨	禾刂一丨丶丶
犁	禾刂ノ一丨丨
愁	禾火丶ㄋ丶丶
乘	禾北丨一ㄋㄋ
秉	禾彐ㄋ一一一
禾	禾ノ一丶丶
黍	禾人丨丶丶丶
颓	禾几一ノ丶丶
魏	禾女ノ丨丶丶
馥	禾日ノ一丶丶
剩	禾北丨丨丨丨
秕	禾比一ㄋㄋㄋ
秩	禾丿一一丶丶
秫	禾木丶丶丶丶
稿	禾高丶一一一
稠	禾冂一丨一一
稗	禾卑ノ丨丨丨
称	禾尔ノㄋ丶丶
穗	禾惠丶ㄋ丶丶
穑	禾十丶ノ一一
稔	禾今丶ㄋ丶丶
稳	禾刍丶ㄋ丶丶
稼	禾宀一ノ丶丶
穰	禾襄丶一丶丶
稍	禾肖丨丶一一
税	禾总ノㄋㄋㄋ
穆	禾白丨ノ丶丶
稂	禾良丶ㄋ丶丶
积	禾口ノ丶丶丶
稆	禾口丨ㄋ一一
程	禾口一一一一
秽	禾山ノㄋ丶丶
稹	禾直ノ丶丶丶
秸	禾吉一丨一一
稷	禾田ノ丶丶丶
稀	禾希ノ丶丨丨
移	禾夕ノㄋ丶丶
秒	禾小ノノノノ
稽	禾尢丶ノ一一
嵇	禾尢丶丨丨丨
稻	禾爫ノ丨一一
稃	禾爫ㄋ丨一一
秭	禾弟ノㄋノノ
秘	禾必丶ㄋ丶丶
利	禾刂丨丨丨丨
科	禾⺀一丨丨丨
秆	禾干一一丨丨
稞	禾日一丨丶丶
秋	禾火丶ノ丶丶
和	禾口丨ㄋ一一
秣	禾未一一丶丶
秤	禾平一丶丨丨
租	禾且丨ㄋ一一
私	禾厶ㄋ丶丶丶
秧	禾央丨ㄋ丶丶
种	禾中丨ㄋ丨丨
稚	禾隹ノ丨一一
秃	禾几ノㄋㄋㄋ
秀	禾乃ㄋノノノ
委	禾女ㄋノ一一
香	禾日丨ㄋ一一
季	禾子ㄋ丨一一
秾	禾农丶ㄋノノ
秬	禾匚ㄋ一一一
馧	禾日丨ㄋ一一
稌	禾余ノ丶丶丶
穜	禾立丨ㄋ一一
穄	禾祭ノㄋ丶丶
穙	禾业丶ノ丶丶
鹙	禾火ノㄋ一一
稑	禾土ノ丶一一
稙	禾直一丨一一
穟	禾㒸丶ㄋ丶丶
馝	禾日丶ㄋノノ
䅟	禾叁ノノノノ
遏	曷辶丶ㄋ丶丶
曷	曷丨ㄋㄋㄋ
歇	曷欠ノㄋ丶丶
鹖	曷鸟ノㄋ一一
黑	黑丨ㄋ丶丶
黝	黑幺ㄋノノノ
黪	黑叁ノノノノ
黥	黑京丶一丶丶
黔	黑今ノ丶ㄋㄋ
黯	黑音丶一一一
黩	黑十ㄋ丶丶丶
黠	黑吉一丨一一
黢	黑夋ㄋ丶丶丶
黟	黑夕ノㄋ丶丶
黜	黑出ㄋ丨丨丨
默	黑犬一ノ丶丶
墨	黑土一丨一一
乎	乎ノ丶丨丨
彪	虍几ノノノノ
遽	虍豕丶ㄋ丶丶
虞	虍口一一丶丶
虐	虍一ㄋ一一
虎	虍几ノㄋㄋㄋ
虏	虍力ㄋノノノ
虔	虍文丶一丶丶
虑	虍心丶ㄋ丶丶
虚	虍业丨丨一一
虍	虍丨一ㄋㄋ
觑	虍业丨ㄋㄋㄋ
虤	虍几丨一ㄋㄋ
甗	虍鬲一ㄋ丶丶
遍	户丶ㄋ丶丶
肩	户⺝丨ㄋ一一
扇	户羽ㄋ丶一一
扃	户冂丨ㄋ一一
扈	户口ㄋ丨ㄋㄋ
扁	户丨ㄋ丨丨
戽	户⺀一丨丨丨
房	户方丶一ノノ
启	户口丨ㄋ一一
戾	户犬一ノ丶丶
雇	户隹ノ丨一一
翩	户ㄋ丶一一
扉	户非丨一一一
綮	户攵ㄋㄋ丶丶
肇	户攵ㄋ一丨丨
扂	户占丨一一一
扅	户夕ノㄋ丶丶
扆	户衣丶一丶丶
扊	户炎丶ノ丶丶
回	回丨ㄋ一一
火	火丶ノ丶丶
熳	火日丨ㄋ一一
剡	炎刂丨丨丨丨
郯	炎卩ㄋ丨丨丨
炼	火练一ㄋ丶丶
炬	火匚ㄋ一一一
煅	火段ノ丨丶丶
煳	火古ノㄋ一一
炀	火汤ㄋノノノ
灼	火勹丶丶丶丶
炮	火勹ㄋ一ㄋㄋ
燧	火㒸丶ㄋ丶丶
煺	火艮丶ㄋ丶丶
焖	火门丶ㄋ丶丶
炯	火冂丨ㄋ一一
烟	火因丨ㄋ一一
煽	火户ㄋ丶一一
煸	火户丨ㄋ丨丨
炊	火欠ノㄋ丶丶
烤	火耂一ㄋㄋㄋ
烧	火尧一ㄋㄋㄋ
燃	火一ノ丶丶
熘	火留丨ㄋ一一
烨	火华ノㄋㄋㄋ
熠	火羽ノ丨一一
焓	火今丨ㄋ一一
熵	火商丶一一一
熔	火宀ノ丶一一
煊	火㝉丨ㄋ一一
烷	火宀一一ㄋㄋ
炕	火亠ノㄋㄋㄋ
炫	火玄丶一丶丶
烩	火人一一丶丶
燥	火口丨ㄋ丶丶
燠	火向丶ノ丶丶
燔	火番ノ丶一一
燎	火尞一ノ丶丶
烃	火轻ㄋ丶一一
焰	火ノ丨一一
焕	火丨ㄋ丶丶
烂	火兰丶ノ一一
煌	火白一一一一
焯	火卓丨一丨丨
烬	火尺丶丶丶丶
炷	火主丶一一一
煤	火甘一丨丶丶
炽	火口ノ丶丶丶
焙	火立丨ㄋ一一
爆	火日一丨丶丶
焊	火日一一丨丨
煜	火日丶一一一
煨	火田一一一一
烯	火希ノ丶丨丨
焐	火五丨ㄋ一一
炝	火仓ノ丶ㄋㄋ
炒	火小ノノノノ
炳	火丙ノ丶丶丶
爝	火爫丨ㄋ丶丶
烽	火夂一一丨丨
烙	火各ノㄋ一一
熄	火自丶ㄋ丶丶
烘	火共一丨丶丶
烛	火虫丨ㄋ丶丶
灯	火丁一丨丨丨
烀	火乎ノ丶丨丨
炉	火户丶ㄋノノ
炔	火夬ㄋ一丶丶
烁	火丨ノ丶丶
灿	火山丨ㄋ丨丨
炻	火石一ノ一一
灶	火土一丨一一
炖	火屯一ㄋㄋㄋ
炜	火韦一一丨丨
烊	火羊丶ノ丨丨
烦	火页一ノ丶丶
炸	火乍ノ一一一
焱	火火丶ノ丶丶
炎	炎丶ノ丶丶
烶	火壬ㄋ丶丶丶
焆	火口丨ㄋ一一
焜	火日一ㄋㄋㄋ
煓	火山一ノ丨丨
煴	火日丨ㄋ一一
熇	火高丶一一一
燏	火矛丨ㄋ一一
爚	火合丨ㄋ丨丨
丌	丌一ノ丨丨
及	及ノㄋ丶丶
暨	旡丨ㄋ一一
即	卩ㄋ丨丨丨
既	旡一ㄋㄋㄋ
飑	风勹ㄋ一ㄋㄋ
飓	风ノ丶丶丶
飕	风臼丨ㄋ丶丶
凰	几白一一一一
夙	几歹一ノ丶丶
凡	凡ノㄋ丶丶
凤	几又ㄋ丶丶丶
几	几ノㄋㄋㄋ
飚	风火丶ノ丶丶
剁	几木丨丨丨丨
风	风ノㄋ丶丶
朵	几木一丨丶丶
己	己ㄋ一ㄋㄋ
改	己攵ノ一丶丶
忌	己心丶ㄋ丶丶
彐	彐ㄋ一一一
寻	彐寸一丨丶丶
灵	彐火丶ノ丶丶
帚	彐冖丨ㄋ丨丨
蠡	彖虫丨ㄋ丶丶
彘	彑匕ノ一ㄋㄋ
彝	彑米ㄋㄋ丨丨
彖	彖ㄋㄋ丶丶
夹	夹人ノ丶丶丶
颊	夹人一ノ丶丶
郏	夹人ㄋ丨丨丨
甲	甲丨ㄋ丨丨
鸭	甲鸟ノㄋ一一
翈	甲羽ㄋ丶一一
遐	叚辶丶ㄋ丶丶
戋	戋一一丶丶
盏	戋皿丨ㄋ一一
鹣	兼鸟ノㄋ一一
歉	兼欠ノㄋ丶丶
兼	兼丶ノ丶丶
见	见丨ㄋㄋㄋ
辔	纟车ㄋㄋ一一
缍	纟垂ノ一一一
缋	纟贵丨ㄋ丶丶
缏	纟亻一丨丶丶
练	纟练一ㄋ丶丶
缎	纟段ノ丨丶丶
缴	纟白丶一丶丶
绑	纟ㄋ丨丨丨
纰	纟比一ㄋㄋㄋ
绗	纟彳一一丨丨
缑	纟亻ノ丨丶丶
缃	纟相一丨一一
缈	纟目丨ノ丶丶
纵	纟从ノ丶丶丶
绷	纟月ノㄋ一一
约	纟勹丶丶丶丶
绚	纟勹丨ㄋ一一
纫	纟刀丶丶丶丶
绒	纟戈一ノノノ
继	纟米ㄋㄋㄋㄋ
缝	纟夂一一丶丶
缱	纟中一丶丶丶
缒	纟ノ丨丶丶
缟	纟高丶一一一
绸	纟冂一丨一一
缄	纟咸一ノ丶丶
纲	纟冈丨ㄋ丶丶
缠	纟广丨ㄋ一一
编	纟户丨ㄋ丨丨
绪	纟者一丨一一
缮	纟羊丶ノ一一
绕	纟尧一ㄋㄋㄋ
缨	纟贝丨ㄋ一一
缵	纟先ノ一丶丶
缆	纟监丨ㄋㄋㄋ
缪	纟羽ノ丶ノノ
缀	纟双ㄋ丶丶丶
绺	纟夂丨丶丶丶
缛	纟辰一丨丶丶
缔	纟帝丨ㄋ丨丨
缡	纟㐫丨ㄋ丶丶
缩	纟宀ノ丨丨丨
缤	纟宀ノ丨一一
绽	纟定丶丶丶丶
综	纟宀一一丶丶
绾	纟宀丨ㄋ一一
统	纟ノㄋㄋㄋ
绞	纟交丶一丶丶
绘	纟人一一丶丶
缲	纟口丨ㄋ丶丶
给	纟合ノ丶一一
缰	纟一丨ㄋ一一
缭	纟尞一ノ丶丶
绶	纟受ㄋ丶丶丶
绿	纟录ㄋ一丶丶
缢	纟䒑ノ丶一一
经	纟轻ㄋ丶一一
纥	纟ㄋㄋㄋㄋ
绝	纟ㄋ丨ㄋㄋ
绉	纟刍ノㄋ一一
绡	纟肖丨丶一一
绱	纟尚丨丶一一
绻	纟ㄋㄋㄋㄋ
纷	纟分ノ丶ノノ
缯	纟曾丶ノ一一
绵	纟白丨ㄋ丨丨
纶	纟人ノㄋㄋㄋ
绰	纟卓丨一丨丨
缫	纟巛丨ㄋ一一
缁	纟巛丨ㄋ一一
绮	纟大一丨丨丨
绔	纟大一一ㄋㄋ
绍	纟召ㄋノ一一
纭	纟云一一丶丶
缚	纟甫一丨丶丶
绣	纟禾ㄋノノノ
缘	纟彖ㄋㄋ丶丶
织	纟口ノ丶丶丶
绢	纟口丨ㄋ一一
绳	纟口丨ㄋ一一
缉	纟口一丨一一
缕	纟米ㄋノ一一
缗	纟民丨ㄋ一一
缂	纟革一丨丨丨
绲	纟日一ㄋㄋㄋ
缇	纟是丨ㄋ丶丶
缜	纟直ノ丶丶丶
续	纟十ㄋ丶丶丶
结	纟吉一丨一一
缬	纟吉一ノ丶丶
绐	纟台ㄋ丶一一
缳	纟同ノㄋ丶丶
缧	纟田ㄋㄋ丶丶
缌	纟田丶ㄋ丶丶
绫	纟土ノ丶丶丶
缥	纟覀一一丶丶
纱	纟小ノノノノ
缙	纟亚丨ㄋ一一
绎	纟又一一丨丨
缦	纟日丨ㄋ丶丶
绥	纟爫ㄋノ一一
缓	纟爰ノ丶丶丶
终	纟夂丶丶丶丶
络	纟各ノㄋ一一
绛	纟夂ノㄋ丶丶
绦	纟夂一丨丶丶
绩	纟丨ㄋ丶丶
缣	纟兼丶ノ丶丶
绂	纟ㄋ丶丶丶
绊	纟半丶ノ丨丨
纽	纟丑ㄋ丨一一
绌	纟出ㄋ丨丨丨
纣	纟寸一丨丶丶
绨	纟弟丶ノノノ
纺	纟方丶一ノノ
绯	纟非丨一一一
绀	纟甘一丨一一
绠	纟更一丨丶丶
红	纟工一丨一一
纩	纟广丶一ノノ
级	纟及ノㄋ丶丶
纪	纟己ㄋ一ㄋㄋ
线	纟戋一一丶丶
纠	纟丩ㄋ丨丨丨
缅	纟丆丨ㄋ一一
纳	纟内丨ㄋ丶丶
纤	纟千ノ一丨丨
组	纟且丨ㄋ一一
绅	纟日丨丨丨丨
纸	纟氏ノㄋㄋㄋ
绁	纟世一丨ㄋㄋ
细	纟田丨ㄋ一一
纯	纟屯一ㄋㄋㄋ
纨	纟九丶丶丶丶
纬	纟韦一一丨丨
纹	纟文丶一丶丶
纡	纟于一一丨丨
纾	纟予ㄋ丶丨丨
维	纟隹ノ丨一一
绋	纟弓ノ丨丨丨
纻	纟㝉丶丶一一
纮	纟ㄋ丶丶丶
#缞	纟哀一ノ丶丶
绖	纟至一ㄋ一一
绹	纟勹ノ一丨丨
缊	纟日丨ㄋ一一
纴	纟壬ノ一一一
绤	纟谷ノ丶一一
缐	纟白丨ㄋ丶丶
䌹	纟冂丨ㄋ一一
邂	角刀ノ一丶丶
蟹	角刀ノ一丶丶
角	角ノㄋ丨丨
觥	角光丨丶ㄋㄋ
觞	角ㄋノノノ
觯	角单丶ノ丨丨
解	角刀ノ一丨丨
触	角虫丨ㄋ丶丶
斛	角⺀一丨丨丨
觚	角瓜ノノ丶丶
觖	角夬ㄋ一丶丶
觫	角束一丨丶丶
觿	角山ノ丨一一
觭	角大一丨丨丨
觟	角圭一丨一一
孢	孑勹ㄋ一ㄋㄋ
孩	孑亥丶一丶丶
孜	孑攵ノ一丶丶
孤	孑瓜ノノ丶丶
孙	孑小丨ノ丶丶
孔	孑乚ㄋㄋㄋㄋ
逊	孑小丶ㄋ丶丶
孑	孑ㄋ丨一一
孺	孑雨一ノ丨丨
巾	巾丨ㄋ丨丨
帙	巾丿一一丶丶
帧	巾⺊丨ㄋ丶丶
帆	巾凡ノㄋ丶丶
帼	巾囗一一丶丶
帱	巾一丨丶丶
幄	巾尸一ㄋ一一
帽	巾日丨ㄋ一一
幡	巾番ノ丶一一
帖	巾占丨一一一
帜	巾口ノ丶丶丶
幛	巾音一丨丨丨
幢	巾立丨ㄋ一一
幌	巾日丨丶ㄋㄋ
幞	巾业丶ノ丶丶
幅	巾同丨ㄋ一一
幔	巾日丨ㄋ丶丶
帻	巾丨ㄋ丶丶
帕	巾白ノ丨一一
帔	巾皮ㄋノ丶丶
帏	巾韦一一丨丨
帐	巾长ノ一丶丶
帷	巾隹ノ丨一一
近	斤辶丶ㄋ丶丶
斤	斤ノノ丨丨
斥	斤丶丶丶丶丶
欣	斤欠ノㄋ丶丶
颀	斤页一ノ丶丶
斶	斤罒ノㄋ丶丶
贪	今贝丨ㄋ丶丶
衾	今衣丶一丶丶
含	今口丨ㄋ一一
念	今心丶ㄋ丶丶
今	今ノ丶ㄋㄋ
颔	今口一ノ丶丶
铮	钅争ノㄋ丨丨
镙	钅田ㄋㄋ丶丶
镟	钅族丨一丶丶
钸	钅丨ㄋ丨丨
钶	钅丁丨ㄋ一一
钜	钅匚ㄋ一一一
钷	钅匚丨ㄋ一一
锻	钅段ノ丨丶丶
铑	钅耂ノㄋㄋㄋ
铆	钅卯ㄋ丨丨丨
铡	钅贝丨丨丨丨
镦	钅享ノ一丶丶
镞	钅族ノ一丶丶
镪	钅弓丨ㄋ一一
锹	钅禾丶ノ丶丶
锨	钅斤ノㄋ丶丶
铷	钅女丨ㄋ一一
铁	钅丿一一丶丶
铢	钅丿一一丶丶
锄	钅且ㄋノノノ
铴	钅氵ㄋノノノ
锵	钅丬ノㄋ丶丶
铘	钅牙ㄋ丨丨丨
锕	钅阝一丨丨丨
钓	钅勹丶丶丶丶
钧	钅勹丶一一一
钩	钅勹ㄋ丶丶丶
铽	钅弋丶ㄋ丶丶
铤	钅壬ㄋ丶丶丶
键	钅聿ㄋ丶丶丶
链	钅车丶ㄋ丶丶
镐	钅高丶一一一
钛	钅大丶丶丶丶
钒	钅凡ノㄋ丶丶
锎	钅门一一丨丨
镧	钅门一丨丶丶
锏	钅门丨ㄋ一一
铜	钅冂丨ㄋ一一
铖	钅戊ㄋㄋㄋㄋ
钢	钅冈丨ㄋ丶丶
锢	钅囗一丨一一
铟	钅因丨ㄋ一一
钗	钅又丶丶丶丶
镳	钅鹿丶丶丶丶
铸	钅一丨丶丶
镢	钅厂丶ノ丶丶
镛	钅广ㄋ一一一
镀	钅度ㄋ丶丶丶
镰	钅广丶ノ丶丶
镅	钅丨ㄋ一一
锔	钅尸ㄋ丨一一
锯	钅尸一丨一一
铌	钅尸ノㄋㄋㄋ
钣	钅ㄋ丶丶丶
钦	钅欠ノㄋ丶丶
铐	钅耂一ㄋㄋㄋ
锗	钅者一丨一一
铙	钅尧一ㄋㄋㄋ
铿	钅坚一丨一一
镏	钅留丨ㄋ一一
锴	钅比ノ丨一一
铧	钅华ノㄋㄋㄋ
锲	钅丰ㄋノノノ
锪	钅勿丶ㄋ丶丶
镩	钅宀ノ丶丶丶
镝	钅啇丶一一一
铲	钅产丶一ノノ
镑	钅帝丶一ノノ
镎	钅合ノ一丨丨
镥	钅鱼丨ㄋ一一
镗	钅一丨一一
钤	钅今ノ丶ㄋㄋ
铃	钅令ノ丶丶丶
镲	钅宀ノㄋ丶丶
镔	钅宀ノ丨一一
锭	钅定丶丶丶丶
铊	钅宀ノㄋㄋㄋ
铵	钅宀ㄋノ一一
镓	钅宀一ノ丶丶
铳	钅ノㄋㄋㄋ
镶	钅襄丶一丶丶
铱	钅衣丶一丶丶
#锿	钅哀ノㄋ丶丶
铰	钅交丶一丶丶
钪	钅亠ノㄋㄋㄋ
铈	钅亠丨ㄋ丨丨
铉	钅玄丶一丶丶
镜	钅音ノㄋㄋㄋ
镱	钅音丶ㄋ丶丶
铪	钅合ノ丶一一
镣	钅尞一ノ丶丶
镨	钅並丨ㄋ一一
镒	钅䒑ノ丶一一
锍	钅㐬丶一ㄋㄋ
铯	钅ㄋ丨ㄋㄋ
销	钅肖丨丶一一
锁	钅丨ㄋ丶丶
铛	钅ㄋ一一一
锖	钅青一一一一
铣	钅先ノ一ㄋㄋ
锆	钅告ノ一一一
镁	钅一ノ丶丶
锩	钅ㄋㄋㄋㄋ
锐	钅总ノㄋㄋㄋ
锦	钅白丨ㄋ丨丨
镫	钅登ㄋ丶一一
钻	钅占丨一一一
锘	钅艹一ノ一一
镆	钅莫一丨丶丶
镬	钅艹ノ丨丶丶
铹	钅劳ㄋノノノ
锚	钅艹丨ㄋ一一
锱	钅巛丨ㄋ一一
锛	钅大一丨丨丨
锒	钅良丶ㄋ丶丶
镊	钅耳ㄋ丶丶丶
镄	钅弓ノ丨丶丶
锈	钅禾ㄋノノノ
锬	钅炎丶ノ丶丶
锓	钅彐丶ㄋ丶丶
铅	钅几丨ㄋ一一
铞	钅口丨ㄋ丨丨
铝	钅口丨ㄋ一一
